method,roi,a1_capture,a1_umi_density,a2_median_umi,a3_median_genes,c1_coexpr,ned,b1_debris_rate,b2_qc_yield,n_cells_raw,d1_silhouette,e1_immune_survival,a1_norm,a1d_norm,a2_norm,a3_norm,c1_norm,ned_norm,d1_norm,e1_norm,capture_score,purity_score,core_tas,tas
nuc,roi3,0.2158703071672355,7.050201777335679,138.0,85.0,0.0010176390773405,0.764029324054718,0.2211668928086838,574,737,0.0926638916134834,0.5454545454545454,0.2158703071672355,0.3930711589670753,0.7132930288004122,0.2833333333333333,0.9989823609226595,0.764029324054718,0.5463319458067417,0.5454545454545454,0.44569217001697403,0.8736428434768557,0.6239998194943644,0.5968160637036966
nuc,roi4,0.2753919154303562,13.776995593847063,334.0,299.0,0.0011574074074074,0.8286336064338684,0.0246913580246913,632,648,0.0926638916134834,1.0,0.2753919154303562,0.7681112961286407,0.8412488222705216,0.9966666666666667,0.9988425925925926,0.8286336064338684,0.5463319458067417,1.0,0.8435345202986174,0.9097662006030753,0.8760246546813685,0.7606322065752491
nuc,roi5,0.2763164914901563,12.223042625897657,381.0,334.0,0.0,0.8057480454444885,0.0197693574958813,588,607,0.0926638916134834,1.0,0.2763164914901563,0.6814734787464791,0.8603083252252065,1.0,1.0,0.8057480454444885,0.5463319458067417,1.0,0.8058138206795412,0.8976346948756428,0.850486004030787,0.7440320836523712
nuc,roi6,0.3866837387964149,11.098299452394969,306.0,281.0,0.0002543234994913,0.8666825890541077,0.0061037639877924,977,983,0.0926638916134834,,0.3866837387964149,0.6187654716976253,0.8285738088271933,0.9366666666666666,0.9997456765005087,0.8666825890541077,0.5463319458067417,,0.7506928547222776,0.9308394981440739,0.835927365355404,0.7345689685133723
nuc,roi7,0.2351696095360106,15.299498568552668,271.0,250.0,0.0011890606420927,0.8597918152809143,0.0451843043995243,797,841,0.0926638916134834,1.0,0.2351696095360106,0.8529956764200245,0.8109897636248019,0.8333333333333334,0.9988109393579073,0.8597918152809143,0.5463319458067417,1.0,0.8375786124495461,0.9266981551038992,0.8810122331224909,0.7638741325619787
nuc,roi8,0.2380596616681786,6.6962887367117805,198.5,182.5,0.0004464285714285,0.8535085916519165,0.0571428571428571,516,560,0.0926638916134834,0.75,0.2380596616681786,0.3733393819988182,0.765920170366378,0.6083333333333333,0.9995535714285715,0.8535085916519165,0.5463319458067417,0.75,0.5302330669243369,0.9236490464622606,0.6998208818457934,0.6460997542321253
nuc,roi9,0.2949176043944323,12.274897629750187,328.0,297.5,0.0003246753246753,0.8630663752555847,0.0155844155844155,757,770,0.0926638916134834,1.0,0.2949176043944323,0.6843645600383764,0.8386246145705598,0.9916666666666667,0.9996753246753247,0.8630663752555847,0.5463319458067417,1.0,0.7997551003284948,0.9288628310466419,0.8618948814299322,0.7514478539618156
nuc,roi10,0.2326077678190354,6.594430455055345,133.0,91.0,0.0004,0.7803176641464233,0.1808,512,625,0.0926638916134834,0.8333333333333334,0.2326077678190354,0.3676604590281596,0.7079505469890286,0.30333333333333334,0.9996,0.7803176641464233,0.5463319458067417,0.8333333333333334,0.43665119959467025,0.8831792213819145,0.6210002145518951,0.5948663204910914
nuc,roi11,0.1848533333333333,8.606669719524618,168.5,118.0,0.0008532423208191,0.781590461730957,0.1313993174061433,509,586,0.0926638916134834,0.9090909090909092,0.1848533333333333,0.4798491941572269,0.7421999684024525,0.3933333333333333,0.9991467576791809,0.781590461730957,0.5463319458067417,0.9090909090909092,0.5238079225125598,0.8836988037060249,0.6803590482209282,0.633449562375963
nuc,roi12,0.2519869845842001,11.821534605328036,314.0,284.5,0.0007692307692307,0.8554379343986511,0.0107692307692307,643,650,0.0926638916134834,1.0,0.2519869845842001,0.6590881303601073,0.8323098826910716,0.9483333333333334,0.9992307692307693,0.8554379343986511,0.5463319458067417,1.0,0.7747048691861549,0.9245430791576693,0.8463143772829379,0.7413205262662692
nuc,roi13,0.297264145912218,13.313299687983166,540.0,479.0,0.0009596928982725,0.7887696623802185,0.0460652591170825,497,521,0.0926638916134834,0.8,0.297264145912218,0.7422587754657372,0.9107979199409896,1.0,0.9990403071017275,0.7887696623802185,0.5463319458067417,0.8,0.8488288677181159,0.8877007861531155,0.8680472643714917,0.7554469028738292
nuc,roi14,0.2650306748466258,9.745200688214156,316.0,284.0,0.001763668430335,0.8375139236450195,0.0634920634920634,530,567,0.0926638916134834,1.0,0.2650306748466258,0.5433259146138472,0.833229027539468,0.9466666666666667,0.998236331569665,0.8375139236450195,0.5463319458067417,1.0,0.7166368808584572,0.9143504944920853,0.8094796392647539,0.7173779465544496
nuc,roi15,0.0849734275535829,10.643060287050204,145.0,114.0,0.0,0.8127000331878662,0.1437308868501529,279,327,0.0926638916134834,0.3333333333333333,0.0849734275535829,0.5933844411993898,0.7204560007449916,0.38,1.0,0.8127000331878662,0.5463319458067417,0.3333333333333333,0.5718062207859428,0.9014987704860535,0.7179711728160151,0.6578974433627693
